일자,원/g_시가
2020-01-01,
2020-01-02,56490.0
2020-01-03,56910.0
2020-01-04,56910.0
2020-01-05,56910.0
2020-01-06,59080.0
2020-01-07,58960.0
2020-01-08,59430.0
2020-01-09,58640.0
2020-01-10,57850.0
2020-01-11,57850.0
2020-01-12,57850.0
2020-01-13,58190.0
2020-01-14,57540.0
2020-01-15,57550.0
2020-01-16,57880.0
2020-01-17,57920.0
2020-01-18,57920.0
2020-01-19,57920.0
2020-01-20,58040.0
2020-01-21,58100.0
2020-01-22,58430.0
2020-01-23,58460.0
2020-01-24,58460.0
2020-01-25,58460.0
2020-01-26,58460.0
2020-01-27,58460.0
2020-01-28,59390.0
2020-01-29,59360.0
2020-01-30,59680.0
2020-01-31,60000.0
2020-02-01,60000.0
2020-02-02,60000.0
2020-02-03,60910.0
2020-02-04,60670.0
2020-02-05,59270.0
2020-02-06,59590.0
2020-02-07,59410.0
2020-02-08,59410.0
2020-02-09,59410.0
2020-02-10,60000.0
2020-02-11,60010.0
2020-02-12,59510.0
2020-02-13,59400.0
2020-02-14,59960.0
2020-02-15,59960.0
2020-02-16,59960.0
2020-02-17,60170.0
2020-02-18,60300.0
2020-02-19,61230.0
2020-02-20,61660.0
2020-02-21,62490.0
2020-02-22,62490.0
2020-02-23,62490.0
2020-02-24,64800.0
2020-02-25,64980.0
2020-02-26,63670.0
2020-02-27,64240.0
2020-02-28,64450.0
2020-02-29,64450.0
2020-03-01,64450.0
2020-03-02,61660.0
2020-03-03,61080.0
2020-03-04,63280.0
2020-03-05,62520.0
2020-03-06,63420.0
2020-03-07,63420.0
2020-03-08,63420.0
2020-03-09,65060.0
2020-03-10,64590.0
2020-03-11,63360.0
2020-03-12,62940.0
2020-03-13,61250.0
2020-03-14,61250.0
2020-03-15,61250.0
2020-03-16,60750.0
2020-03-17,59660.0
2020-03-18,61490.0
2020-03-19,59430.0
2020-03-20,60640.0
2020-03-21,60640.0
2020-03-22,60640.0
2020-03-23,59880.0
2020-03-24,63730.0
2020-03-25,65370.0
2020-03-26,63770.0
2020-03-27,64460.0
2020-03-28,64460.0
2020-03-29,64460.0
2020-03-30,63420.0
2020-03-31,63630.0
2020-04-01,61580.0
2020-04-02,63090.0
2020-04-03,63660.0
2020-04-04,63660.0
2020-04-05,63660.0
2020-04-06,63910.0
2020-04-07,65910.0
2020-04-08,64740.0
2020-04-09,64660.0
2020-04-10,66020.0
2020-04-11,66020.0
2020-04-12,66020.0
2020-04-13,65540.0
2020-04-14,67280.0
2020-04-15,67280.0
2020-04-16,67270.0
2020-04-17,67780.0
2020-04-18,67780.0
2020-04-19,67780.0
2020-04-20,65650.0
2020-04-21,66410.0
2020-04-22,66660.0
2020-04-23,67800.0
2020-04-24,68400.0
2020-04-25,68400.0
2020-04-26,68400.0
2020-04-27,68510.0
2020-04-28,67380.0
2020-04-29,67190.0
2020-04-30,67190.0
2020-05-01,67190.0
2020-05-02,67190.0
2020-05-03,67190.0
2020-05-04,66490.0
2020-05-05,66490.0
2020-05-06,67380.0
2020-05-07,66320.0
2020-05-08,67490.0
2020-05-09,67490.0
2020-05-10,67490.0
2020-05-11,66920.0
2020-05-12,66650.0
2020-05-13,67020.0
2020-05-14,67550.0
2020-05-15,68410.0
2020-05-16,68410.0
2020-05-17,68410.0
2020-05-18,69370.0
2020-05-19,68730.0
2020-05-20,68760.0
2020-05-21,69160.0
2020-05-22,68320.0
2020-05-23,68320.0
2020-05-24,68320.0
2020-05-25,68840.0
2020-05-26,69050.0
2020-05-27,67940.0
2020-05-28,67870.0
2020-05-29,68560.0
2020-05-30,68560.0
2020-05-31,68560.0
2020-06-01,69260.0
2020-06-02,68630.0
2020-06-03,68080.0
2020-06-04,66480.0
2020-06-05,67230.0
2020-06-06,67230.0
2020-06-07,67230.0
2020-06-08,65220.0
2020-06-09,65770.0
2020-06-10,66100.0
2020-06-11,66480.0
2020-06-12,66530.0
2020-06-13,66530.0
2020-06-14,66530.0
2020-06-15,67060.0
2020-06-16,67480.0
2020-06-17,67000.0
2020-06-18,67430.0
2020-06-19,66950.0
2020-06-20,66950.0
2020-06-21,66950.0
2020-06-22,67950.0
2020-06-23,68660.0
2020-06-24,68730.0
2020-06-25,68040.0
2020-06-26,68370.0
2020-06-27,68370.0
2020-06-28,68370.0
2020-06-29,68430.0
2020-06-30,68330.0
2020-07-01,68990.0
2020-07-02,68470.0
2020-07-03,68550.0
2020-07-04,68550.0
2020-07-05,68550.0
2020-07-06,68420.0
2020-07-07,68670.0
2020-07-08,69020.0
2020-07-09,69570.0
2020-07-10,69350.0
2020-07-11,69350.0
2020-07-12,69350.0
2020-07-13,69760.0
2020-07-14,69590.0
2020-07-15,70170.0
2020-07-16,69940.0
2020-07-17,69710.0
2020-07-18,69710.0
2020-07-19,69710.0
2020-07-20,70130.0
2020-07-21,70320.0
2020-07-22,70960.0
2020-07-23,71840.0
2020-07-24,72650.0
2020-07-25,72650.0
2020-07-26,72650.0
2020-07-27,73860.0
2020-07-28,75160.0
2020-07-29,75190.0
2020-07-30,75510.0
2020-07-31,75170.0
2020-08-01,75170.0
2020-08-02,75170.0
2020-08-03,75960.0
2020-08-04,75710.0
2020-08-05,77670.0
2020-08-06,77920.0
2020-08-07,78740.0
2020-08-08,78740.0
2020-08-09,78740.0
2020-08-10,77280.0
2020-08-11,77240.0
2020-08-12,73090.0
2020-08-13,73150.0
2020-08-14,74580.0
2020-08-15,74580.0
2020-08-16,74580.0
2020-08-17,74580.0
2020-08-18,75580.0
2020-08-19,76280.0
2020-08-20,73410.0
2020-08-21,74420.0
2020-08-22,74420.0
2020-08-23,74420.0
2020-08-24,73870.0
2020-08-25,73730.0
2020-08-26,73460.0
2020-08-27,74440.0
2020-08-28,73430.0
2020-08-29,73430.0
2020-08-30,73430.0
2020-08-31,75170.0
2020-09-01,75120.0
2020-09-02,74930.0
2020-09-03,74080.0
2020-09-04,73820.0
2020-09-05,73820.0
2020-09-06,73820.0
2020-09-07,74050.0
2020-09-08,73780.0
2020-09-09,73680.0
2020-09-10,74440.0
2020-09-11,74050.0
2020-09-12,74050.0
2020-09-13,74050.0
2020-09-14,74110.0
2020-09-15,74490.0
2020-09-16,74090.0
2020-09-17,74070.0
2020-09-18,73510.0
2020-09-19,73510.0
2020-09-20,73510.0
2020-09-21,72760.0
2020-09-22,71310.0
2020-09-23,71200.0
2020-09-24,69440.0
2020-09-25,70450.0
2020-09-26,70450.0
2020-09-27,70450.0
2020-09-28,70250.0
2020-09-29,71040.0
2020-09-30,71040.0
2020-10-01,71040.0
2020-10-02,71040.0
2020-10-03,71040.0
2020-10-04,71040.0
2020-10-05,71460.0
2020-10-06,71550.0
2020-10-07,70110.0
2020-10-08,70270.0
2020-10-09,70270.0
2020-10-10,70270.0
2020-10-11,70270.0
2020-10-12,71610.0
2020-10-13,70940.0
2020-10-14,69790.0
2020-10-15,70030.0
2020-10-16,70140.0
2020-10-17,70140.0
2020-10-18,70140.0
2020-10-19,70100.0
2020-10-20,69870.0
2020-10-21,70020.0
2020-10-22,69960.0
2020-10-23,69410.0
2020-10-24,69410.0
2020-10-25,69410.0
2020-10-26,69090.0
2020-10-27,68990.0
2020-10-28,68940.0
2020-10-29,68240.0
2020-10-30,67980.0
2020-10-31,67980.0
2020-11-01,67980.0
2020-11-02,68540.0
2020-11-03,69090.0
2020-11-04,69830.0
2020-11-05,69700.0
2020-11-06,70560.0
2020-11-07,70560.0
2020-11-08,70560.0
2020-11-09,70560.0
2020-11-10,66860.0
2020-11-11,67320.0
2020-11-12,66560.0
2020-11-13,67240.0
2020-11-14,67240.0
2020-11-15,67240.0
2020-11-16,67820.0
2020-11-17,67390.0
2020-11-18,66970.0
2020-11-19,66440.0
2020-11-20,66860.0
2020-11-21,66860.0
2020-11-22,66860.0
2020-11-23,67040.0
2020-11-24,65580.0
2020-11-25,64690.0
2020-11-26,64470.0
2020-11-27,64280.0
2020-11-28,64280.0
2020-11-29,64280.0
2020-11-30,63380.0
2020-12-01,63220.0
2020-12-02,64470.0
2020-12-03,64760.0
2020-12-04,64940.0
2020-12-05,64940.0
2020-12-06,64940.0
2020-12-07,63840.0
2020-12-08,64860.0
2020-12-09,65250.0
2020-12-10,64030.0
2020-12-11,64240.0
2020-12-12,64240.0
2020-12-13,64240.0
2020-12-14,64410.0
2020-12-15,64180.0
2020-12-16,65130.0
2020-12-17,65580.0
2020-12-18,66230.0
2020-12-19,66230.0
2020-12-20,66230.0
2020-12-21,66620.0
2020-12-22,66670.0
2020-12-23,66300.0
2020-12-24,66690.0
2020-12-25,66690.0
2020-12-26,66690.0
2020-12-27,66690.0
2020-12-28,66960.0
2020-12-29,66120.0
2020-12-30,65950.0
2020-12-31,65950.0
2021-01-01,65950.0
2021-01-02,65950.0
2021-01-03,65950.0
2021-01-04,66730.0
2021-01-05,67650.0
2021-01-06,68240.0
2021-01-07,67090.0
2021-01-08,66980.0
2021-01-09,66980.0
2021-01-10,66980.0
2021-01-11,64860.0
2021-01-12,65140.0
2021-01-13,65640.0
2021-01-14,65050.0
2021-01-15,65190.0
2021-01-16,65190.0
2021-01-17,65190.0
2021-01-18,64600.0
2021-01-19,65220.0
2021-01-20,65300.0
2021-01-21,66190.0
2021-01-22,66050.0
2021-01-23,66050.0
2021-01-24,66050.0
2021-01-25,65910.0
2021-01-26,65710.0
2021-01-27,65870.0
2021-01-28,65420.0
2021-01-29,66340.0
2021-01-30,66340.0
2021-01-31,66340.0
2021-02-01,66840.0
2021-02-02,66790.0
2021-02-03,66080.0
2021-02-04,65740.0
2021-02-05,64560.0
2021-02-06,64560.0
2021-02-07,64560.0
2021-02-08,65660.0
2021-02-09,65860.0
2021-02-10,66020.0
2021-02-11,66020.0
2021-02-12,66020.0
2021-02-13,66020.0
2021-02-14,66020.0
2021-02-15,64880.0
2021-02-16,64410.0
2021-02-17,63270.0
2021-02-18,63260.0
2021-02-19,63240.0
2021-02-20,63240.0
2021-02-21,63240.0
2021-02-22,63400.0
2021-02-23,64600.0
2021-02-24,64500.0
2021-02-25,64490.0
2021-02-26,63110.0
2021-02-27,63110.0
2021-02-28,63110.0
2021-03-01,63110.0
2021-03-02,62270.0
2021-03-03,62840.0
2021-03-04,61610.0
2021-03-05,61390.0
2021-03-06,61390.0
2021-03-07,61390.0
2021-03-08,61930.0
2021-03-09,61410.0
2021-03-10,62860.0
2021-03-11,63430.0
2021-03-12,62930.0
2021-03-13,62930.0
2021-03-14,62930.0
2021-03-15,62910.0
2021-03-16,63230.0
2021-03-17,62900.0
2021-03-18,63540.0
2021-03-19,62670.0
2021-03-20,62670.0
2021-03-21,62670.0
2021-03-22,63250.0
2021-03-23,63090.0
2021-03-24,62730.0
2021-03-25,63210.0
2021-03-26,62920.0
2021-03-27,62920.0
2021-03-28,62920.0
2021-03-29,62860.0
2021-03-30,62270.0
2021-03-31,61410.0
2021-04-01,62170.0
2021-04-02,62970.0
2021-04-03,62970.0
2021-04-04,62970.0
2021-04-05,62690.0
2021-04-06,62700.0
2021-04-07,62740.0
2021-04-08,62320.0
2021-04-09,63040.0
2021-04-10,63040.0
2021-04-11,63040.0
2021-04-12,62790.0
2021-04-13,62670.0
2021-04-14,63200.0
2021-04-15,62330.0
2021-04-16,63380.0
2021-04-17,63380.0
2021-04-18,63380.0
2021-04-19,63780.0
2021-04-20,63620.0
2021-04-21,63550.0
2021-04-22,64540.0
2021-04-23,64100.0
2021-04-24,64100.0
2021-04-25,64100.0
2021-04-26,63760.0
2021-04-27,63740.0
2021-04-28,63410.0
2021-04-29,63800.0
2021-04-30,63180.0
2021-05-01,63180.0
2021-05-02,63180.0
2021-05-03,63250.0
2021-05-04,64760.0
2021-05-05,64760.0
2021-05-06,64450.0
2021-05-07,65680.0
2021-05-08,65680.0
2021-05-09,65680.0
2021-05-10,66150.0
2021-05-11,65750.0
2021-05-12,66110.0
2021-05-13,65710.0
2021-05-14,66290.0
2021-05-15,66290.0
2021-05-16,66290.0
2021-05-17,66990.0
2021-05-18,68110.0
2021-05-19,68110.0
2021-05-20,67930.0
2021-05-21,68260.0
2021-05-22,68260.0
2021-05-23,68260.0
2021-05-24,68190.0
2021-05-25,68050.0
2021-05-26,68500.0
2021-05-27,68140.0
2021-05-28,68180.0
2021-05-29,68180.0
2021-05-30,68180.0
2021-05-31,68280.0
2021-06-01,68130.0
2021-06-02,67530.0
2021-06-03,68340.0
2021-06-04,67020.0
2021-06-05,67020.0
2021-06-06,67020.0
2021-06-07,67840.0
2021-06-08,67960.0
2021-06-09,67830.0
2021-06-10,67730.0
2021-06-11,68090.0
2021-06-12,68090.0
2021-06-13,68090.0
2021-06-14,66950.0
2021-06-15,67030.0
2021-06-16,66760.0
2021-06-17,65320.0
2021-06-18,64520.0
2021-06-19,64520.0
2021-06-20,64520.0
2021-06-21,64380.0
2021-06-22,65100.0
2021-06-23,64740.0
2021-06-24,64970.0
2021-06-25,64760.0
2021-06-26,64760.0
2021-06-27,64760.0
2021-06-28,64610.0
2021-06-29,64590.0
2021-06-30,63910.0
2021-07-01,64060.0
2021-07-02,64680.0
2021-07-03,64680.0
2021-07-04,64680.0
2021-07-05,65180.0
2021-07-06,65190.0
2021-07-07,65260.0
2021-07-08,66040.0
2021-07-09,66390.0
2021-07-10,66390.0
2021-07-11,66390.0
2021-07-12,66760.0
2021-07-13,66630.0
2021-07-14,66520.0
2021-07-15,67460.0
2021-07-16,67220.0
2021-07-17,67220.0
2021-07-18,67220.0
2021-07-19,66400.0
2021-07-20,66870.0
2021-07-21,66920.0
2021-07-22,66890.0
2021-07-23,66850.0
2021-07-24,66850.0
2021-07-25,66850.0
2021-07-26,66650.0
2021-07-27,66750.0
2021-07-28,66540.0
2021-07-29,67190.0
2021-07-30,67480.0
2021-07-31,67480.0
2021-08-01,67480.0
2021-08-02,67050.0
2021-08-03,67090.0
2021-08-04,66860.0
2021-08-05,66610.0
2021-08-06,66330.0
2021-08-07,66330.0
2021-08-08,66330.0
2021-08-09,62580.0
2021-08-10,63710.0
2021-08-11,63910.0
2021-08-12,65120.0
2021-08-13,65460.0
2021-08-14,65460.0
2021-08-15,65460.0
2021-08-16,65460.0
2021-08-17,67190.0
2021-08-18,67540.0
2021-08-19,67140.0
2021-08-20,67330.0
2021-08-21,67330.0
2021-08-22,67330.0
2021-08-23,67440.0
2021-08-24,68110.0
2021-08-25,67530.0
2021-08-26,67270.0
2021-08-27,67490.0
2021-08-28,67490.0
2021-08-29,67490.0
2021-08-30,68340.0
2021-08-31,67920.0
2021-09-01,67640.0
2021-09-02,67480.0
2021-09-03,67570.0
2021-09-04,67570.0
2021-09-05,67570.0
2021-09-06,68020.0
2021-09-07,67800.0
2021-09-08,66820.0
2021-09-09,67110.0
2021-09-10,67480.0
2021-09-11,67480.0
2021-09-12,67480.0
2021-09-13,67220.0
2021-09-14,67780.0
2021-09-15,67910.0
2021-09-16,67540.0
2021-09-17,66080.0
2021-09-18,66080.0
2021-09-19,66080.0
2021-09-20,66080.0
2021-09-21,66080.0
2021-09-22,66080.0
2021-09-23,66780.0
2021-09-24,65980.0
2021-09-25,65980.0
2021-09-26,65980.0
2021-09-27,66160.0
2021-09-28,66230.0
2021-09-29,66040.0
2021-09-30,65650.0
2021-10-01,66790.0
2021-10-02,66790.0
2021-10-03,66790.0
2021-10-04,66790.0
2021-10-05,67570.0
2021-10-06,67260.0
2021-10-07,67610.0
2021-10-08,67150.0
2021-10-09,67150.0
2021-10-10,67150.0
2021-10-11,67150.0
2021-10-12,67380.0
2021-10-13,67850.0
2021-10-14,68800.0
2021-10-15,68520.0
2021-10-16,68520.0
2021-10-17,68520.0
2021-10-18,67290.0
2021-10-19,67340.0
2021-10-20,67030.0
2021-10-21,67310.0
2021-10-22,67570.0
2021-10-23,67570.0
2021-10-24,67570.0
2021-10-25,67850.0
2021-10-26,67910.0
2021-10-27,67290.0
2021-10-28,67610.0
2021-10-29,67710.0
2021-10-30,67710.0
2021-10-31,67710.0
2021-11-01,66900.0
2021-11-02,67780.0
2021-11-03,67470.0
2021-11-04,67430.0
2021-11-05,68130.0
2021-11-06,68130.0
2021-11-07,68130.0
2021-11-08,69230.0
2021-11-09,69430.0
2021-11-10,69340.0
2021-11-11,70180.0
2021-11-12,70700.0
2021-11-13,70700.0
2021-11-14,70700.0
2021-11-15,70790.0
2021-11-16,70610.0
2021-11-17,70200.0
2021-11-18,71000.0
2021-11-19,70560.0
2021-11-20,70560.0
2021-11-21,70560.0
2021-11-22,70250.0
2021-11-23,68950.0
2021-11-24,68450.0
2021-11-25,68200.0
2021-11-26,68560.0
2021-11-27,68560.0
2021-11-28,68560.0
2021-11-29,68520.0
2021-11-30,68540.0
2021-12-01,67840.0
2021-12-02,67540.0
2021-12-03,66920.0
2021-12-04,66920.0
2021-12-05,66920.0
2021-12-06,67640.0
2021-12-07,67720.0
2021-12-08,67660.0
2021-12-09,67440.0
2021-12-10,67060.0
2021-12-11,67060.0
2021-12-12,67060.0
2021-12-13,67770.0
2021-12-14,67840.0
2021-12-15,67390.0
2021-12-16,67810.0
2021-12-17,68460.0
2021-12-18,68460.0
2021-12-19,68460.0
2021-12-20,68340.0
2021-12-21,68590.0
2021-12-22,68640.0
2021-12-23,69150.0
2021-12-24,69080.0
2021-12-25,69080.0
2021-12-26,69080.0
2021-12-27,68970.0
2021-12-28,69130.0
2021-12-29,69010.0
2021-12-30,68840.0
